央视频道,#genre# 

CCTV-1综合,rtsp://139.215.98.88/PLTV/88888888/224/3221225620/10000100000000060000000014261464_0.smil
CCTV-1综合,rtsp://139.215.98.88/PLTV/88888888/224/3221225553/10000100000000060000000000049916_0.smil
CCTV-2财经,rtsp://139.215.98.88/PLTV/88888888/224/3221225799/10000100000000060000000014274939_0.smil
CCTV-2财经,rtsp://139.215.98.88/PLTV/88888888/224/3221225547/10000100000000060000000000049632_0.smil
CCTV-3综艺,rtsp://139.215.98.88/PLTV/88888888/224/3221226127/10000100000000060000000015558809_0.smil
CCTV-3综艺,rtsp://139.215.98.88/PLTV/88888888/224/3221225712/10000100000000060000000014868304_0.smil
CCTV-4中文国际,rtsp://139.215.98.88/PLTV/88888888/224/3221225510/10000100000000060000000000029577_0.smil
CCTV-5体育,rtsp://139.215.98.88/PLTV/88888888/224/3221226129/10000100000000060000000015558810_0.smil
CCTV-5体育,rtsp://139.215.98.88/PLTV/88888888/224/3221225714/10000100000000060000000014868306_0.smil
CCTV-5+,rtsp://139.215.98.88/PLTV/88888888/224/3221225720/10000100000000060000000014868371_0.smil
CCTV-6电影,rtsp://139.215.98.88/PLTV/88888888/224/3221226131/10000100000000060000000015558811_0.smil
CCTV-6电影,rtsp://139.215.98.88/PLTV/88888888/224/3221225716/10000100000000060000000014868307_0.smil
CCTV-8电视剧,rtsp://139.215.98.88/PLTV/88888888/224/3221226133/10000100000000060000000015558812_0.smil
CCTV-8电视剧,rtsp://139.215.98.88/PLTV/88888888/224/3221225718/10000100000000060000000014868308_0.smil
CCTV-9记录,rtsp://139.215.98.88/PLTV/88888888/224/3221225803/10000100000000060000000014274943_0.smil
CCTV-9记录,rtsp://139.215.98.88/PLTV/88888888/224/3221225879/10000100000000060000000014901563_0.smil
CCTV-10科教,rtsp://139.215.98.88/PLTV/88888888/224/3221225805/10000100000000060000000014274956_0.smil
CCTV-10科教,rtsp://139.215.98.88/PLTV/88888888/224/3221225551/10000100000000060000000000049676_0.smil
CCTV-11戏曲,rtsp://139.215.98.88/PLTV/88888888/224/3221225560/10000100000000060000000000029620_0.smil
CCTV-12社会与法,rtsp://139.215.98.88/PLTV/88888888/224/3221225807/10000100000000060000000014274957_0.smil
CCTV-12社会与法,rtsp://139.215.98.88/PLTV/88888888/224/3221225564/10000100000000060000000000029648_0.smil
CCTV-13新闻,rtsp://139.215.98.88/PLTV/88888888/224/3221225543/10000100000000060000000000036446_0.smil
CCTV-14少儿,rtsp://139.215.98.88/PLTV/88888888/224/3221225809/10000100000000060000000014274958_0.smil
CCTV-14少儿,rtsp://139.215.98.88/PLTV/88888888/224/3221225496/10000100000000060000000000029509_0.smil
CCTV-15音乐,rtsp://139.215.98.88/PLTV/88888888/224/3221225525/10000100000000060000000000030132_0.smil
CCTV-17农业农村,rtsp://139.215.98.88/PLTV/88888888/224/3221225801/10000100000000060000000014274940_0.smil
CCTV-17农业农村,rtsp://139.215.98.88/PLTV/88888888/224/3221225532/10000100000000060000000000029588_0.smil
CCTV-风云剧场,rtsp://139.215.98.88/PLTV/88888888/224/3221225829/10000100000000060000000014313392_0.smil
CCTV-第一剧场,rtsp://139.215.98.88/PLTV/88888888/224/3221225779/10000100000000060000000014254031_0.smil
CCTV-怀旧剧场,rtsp://139.215.98.88/PLTV/88888888/224/3221225757/10000100000000060000000014254008_0.smil
CCTV-风云音乐,rtsp://139.215.98.88/PLTV/88888888/224/3221225751/10000100000000060000000014254005_0.smil
CCTV-文化精品,rtsp://139.215.98.88/PLTV/88888888/224/3221225767/10000100000000060000000014254016_0.smil
CCTV-世界地理,rtsp://139.215.98.88/PLTV/88888888/224/3221225783/10000100000000060000000014254033_0.smil
CCTV-兵器科技,rtsp://139.215.98.88/PLTV/88888888/224/3221225769/10000100000000060000000014254019_0.smil
CCTV-女性时尚,rtsp://139.215.98.88/PLTV/88888888/224/3221225745/10000100000000060000000014253993_0.smil
CCTV-风云足球,rtsp://139.215.98.88/PLTV/88888888/224/3221225747/10000100000000060000000014253997_0.smil
CCTV-央视台球,rtsp://139.215.98.88/PLTV/88888888/224/3221225743/10000100000000060000000014253990_0.smil
CCTV-中学生,rtsp://139.215.98.88/PLTV/88888888/224/3221225795/10000100000000060000000014254371_0.smil
CCTV-老故事,rtsp://139.215.98.88/PLTV/88888888/224/3221225827/10000100000000060000000014313391_0.smil
CGTN-国际,rtsp://139.215.98.88/PLTV/88888888/224/3221225550/10000100000000060000000000029614_0.smil
